artist_name,artist_id,deezer_fans,deezer_rank,picture_url,deezer_link,top_track_name,top_track_rank,top_track_duration,genero
Trap Nation (US),50064442,7355,0,https://cdn-images.dzcdn.net/images/artist/8826567e25b0f0b7419363f1aa49da03/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/50064442,Juan Pablo,137156,104,trap latino
Salsa Celtica,484607,7319,0,https://cdn-images.dzcdn.net/images/artist/8fa4ddbfb21dbae4857520f0b4490120/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/484607,El Sol de la Noche,382031,354,salsa
Agrupación Reggaeton,458683,7279,0,https://cdn-images.dzcdn.net/images/artist/3210f5cce2537c6a632258367126a04d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/458683,La vecinita (Reggaeton),105966,263,reggaeton
Urban & 4,16219,6602,0,https://cdn-images.dzcdn.net/images/artist/434eea429b34ab680c4bfeef21e93050/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/16219,N/A,0,0,urbano
Indie Space,103057572,4121,0,https://cdn-images.dzcdn.net/images/artist/c43b141eb56af542c49f6c3631d60d04/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/103057572,TUDO,88375,148,indie
folkshilfe,5389905,3729,0,https://cdn-images.dzcdn.net/images/artist/3ec4528fa0e9b3bfa9a366411d7578f3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/5389905,N/A,0,0,folk
Jerry Folk,8581652,3412,0,https://cdn-images.dzcdn.net/images/artist/351b5ecb97d21bd06b461afdac9e6fde/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/8581652,You Know,168141,199,folk
Salsa Kids,16728,3391,0,https://cdn-images.dzcdn.net/images/artist/44a487bc0dd416c39ea4c32635d2978d/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/16728,Déjame Un Beso,439828,240,salsa
Reggaeton Man Flow,1012101,3190,0,https://cdn-images.dzcdn.net/images/artist/c42f10059ce6248aeea74934f109d6ef/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1012101,Esta Noche De Travesura,86898,207,reggaeton
Urban Love,816085,3011,0,https://cdn-images.dzcdn.net/images/artist/8e13e3f3ce0a7bffdae27b3979ab2c50/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/816085,Don't Dream It's Over,336747,257,urbano
Urban Life Worship,11268552,2908,0,https://cdn-images.dzcdn.net/images/artist/9fd241ea1bab05e5c672bb13c790be59/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/11268552,N/A,0,0,urbano
Workout Electronica,8905324,2753,0,https://cdn-images.dzcdn.net/images/artist/76801e915904962a76d59b7a4667f1b3/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/8905324,"Desire Tone, Pt. 25 (125 BPM Deep House Rave Fitness DJ Mix)",22046,323,electrónica
indie tribe,128304682,2255,0,https://cdn-images.dzcdn.net/images/artist/9fa673b52f5eaa2f038e51bcfdc3ad53/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/128304682,HOLY SMOKE! (feat. Jon Keith),126725,196,indie
El Inspector de la Salsa,1311713,2177,0,https://cdn-images.dzcdn.net/images/artist/c258e9d6c898df84259a4c216076274c/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/1311713,Anhelos (2a. de La Persona Ideal),186433,255,salsa
Sally Folk,4514833,2154,0,https://cdn-images.dzcdn.net/images/artist/1f820b9fed55c9fcff229c5eabb5d627/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/4514833,N/A,0,0,folk
Folkeklubben,3889401,2117,0,https://cdn-images.dzcdn.net/images/artist/91f1e87d75c43cc04467dec06cd5ba84/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/3889401,N/A,0,0,folk
Hermano,14171845,2111,0,https://cdn-images.dzcdn.net/images/artist/2a811b217ec559620ea5e08b512c1771/1000x1000-000000-80-0-0.jpg,https://www.deezer.com/artist/14171845,Roll Over,76091,282,urbano
